"","Player","psc","PL"
"296","Michael Adams",0.216958138061763,0.0208139658856083
"297","Armen Gilliam",0.214103900813326,0.0444093867054306
"298","Rajon Rondo",0.213974043365526,0.275478709276676
"299","Elden Campbell",0.212921091392366,0.171538870691098
"300","Zelmo Beaty",0.212815529414392,0.192923449045597
"301","Bob Dandridge",0.212515994591033,0.349328382201636
"302","Norm Nixon",0.210719944484177,0.213930060991708
"303","Kevin Martin",0.21068687505903,0.0299798652043051
"304","Rik Smits",0.210193616594334,0.236497610159716
"305","Richard Hamilton",0.207765106492381,0.348634991428292
"306","Michael Cage",0.207537860497789,0.0528342646581544
"307","Cliff Robinson",0.207416733360066,0.0248325210815838
"308","Ricky Pierce",0.207205518839888,0.152208340191994
"309","Rich Kelley",0.206737041217084,0.0520276397291709
"310","Donyell Marshall",0.206680256375805,0.050600820269718
"311","Chuck Person",0.206621069646933,0.056772318982882
"312","Sam Jones",0.206607212782503,0.670396998288959
"313","A.C. Green",0.206444999657221,0.311591174017376
"314","Serge Ibaka",0.20611068846482,0.254718628382572
"315","Tyson Chandler",0.205972065738887,0.119456043057695
"316","Goran Dragic",0.205773582502011,0.0532953660919146
"317","Grant Long",0.205580882669153,0.041466944668707
"318","Emeka Okafor",0.20492986420749,0.00680561671576094
"319","Jalen Rose",0.202696904911321,0.132569596894498
"320","Thurl Bailey",0.202645957694829,0.107152195456813
"321","Rashard Lewis",0.202555436840898,0.198364624880669
"322","Sam Perkins",0.201349427918926,0.302930053168586
"323","Steve Smith",0.200327514122975,0.141015812122865
"324","Tyrone Corbin",0.199690725137066,0.110232517673574
"325","Nick Anderson",0.199332971625603,0.0897253996506634
"326","Mike Conley",0.198864946648903,0.117431233290251
"327","Dick Van Arsdale",0.198520609677276,0.0544238414829793
"328","Rudy Gay",0.198480125132463,0.0262162125103007
"329","Victor Oladipo",0.198381759410757,0.018966258438642
"330","Tom Owens",0.198170684031456,0.0196344263058397
"331","Steve Stipanovich",0.198122110884023,0.00393962453736767
"332","Ben Simmons",0.196775453405067,0.0547174786454292
"333","George Yardley",0.196720411441135,0.17635109016048
"334","Dan Majerle",0.195274498515192,0.230024881356025
"335","Ed Macauley",0.195076921681537,0.167030991947741
"336","Jason Terry",0.193863979918751,0.215345688485883
"337","Jeff Mullins",0.191059366027321,0.16946840897465
"338","Metta World Peace",0.18948093514071,0.187342631482308
"339","Kenyon Martin",0.189199772178262,0.241278829053413
"340","Eric Bledsoe",0.189163722836702,0.0614281329547808
"341","Micheal Williams",0.189020402043423,0.0218980793691577
"342","Clint Capela",0.18760990461778,0.103809883353976
"343","Eddie Johnson",0.186917107846188,0.18727668362545
"344","Nate Thurmond",0.186621957290431,0.177454374651482
"345","Cedric Ceballos",0.18655655555782,0.0900669221344961
"346","Hedo Türkoglu",0.186103955444439,0.168429492046806
"347","Steven Adams",0.186062065787841,0.0740718515464899
"348","Mike Newlin",0.185873827191225,0.037149297071605
"349","Fred Brown",0.185512737465366,0.164947768093573
"350","Kermit Washington",0.185021048992065,0.0126323039372594
"351","Brian Grant",0.184523554581278,0.0883866801156467
"352","Phil Chenier",0.184467691872504,0.130867104658095
"353","Tony Campbell",0.183409554969123,0.0821102197390282
"354","Jrue Holiday",0.183347408865344,0.0571076645658748
"355","James Edwards",0.182324667917548,0.205593435099058
"356","Allan Houston",0.181901371084885,0.146071947731118
"357","James Donaldson",0.181536987664611,0.0840795924191714
"358","Derrick McKey",0.181246280157065,0.239894877218737
