"","Player","psc"
"367","Marcin Gortat",0.174840163412757
"368","Willie Anderson",0.174706160432997
"369","Damon Stoudamire",0.174705778286549
"370","Vern Fleming",0.174564726522344
"371","Julius Randle",0.174448843649862
"372","LaSalle Thompson",0.172887913196306
"373","Elmore Smith",0.172566250894027
"374","Bob Boozer",0.171908808031775
"375","Ben Gordon",0.170905320522591
"376","Andrew Bogut",0.169895018611815
"377","Luis Scola",0.169322136183272
"378","Mike Woodson",0.169144396805251
"379","Keith Van Horn",0.169052972641353
"380","LaPhonso Ellis",0.168941328939032
"381","Andrew Toney",0.168207621902597
"382","Tree Rollins",0.163831255650494
"383","Darrell Griffith",0.163506565087211
"384","Rickey Green",0.162465580904521
"385","Happy Hairston",0.161920818841621
"386","Phil Smith",0.161151271065946
"387","Toni Kukoc",0.161083242133809
"388","Tobias Harris",0.160502915582408
"389","Terry Dischinger",0.160333509922684
"390","Johnny Moore",0.159250214224315
"391","Stephen Jackson",0.158892670212577
"392","Dana Barros",0.15839863115773
"393","Mark Eaton",0.157641779162903
"394","Jeff Teague",0.157015536805009
"395","Khris Middleton",0.156741555822522
"396","Ricky Davis",0.156318403541342
"397","Bob Rule",0.155838905625148
"398","Terry Tyler",0.155349193353566
"399","Klay Thompson",0.154868960875771
"400","CJ McCollum",0.154690023059982
"401","Cuttino Mobley",0.153791599189779
"402","Joe Smith",0.153780532898259
"403","Jack Marin",0.153667181394579
"404","Lonnie Shelton",0.152299583031595
"405","Kirk Hinrich",0.152242779798617
"406","Darrell Armstrong",0.151982452335684
"407","Danny Schayes",0.151517077386956
"408","Charlie Scott*",0.151470071043551
"409","Rudy LaRusso",0.151356641161913
"410","Josh Howard",0.150924803966996
"411","Kurt Thomas",0.150213307446582
"412","Wally Szczerbiak",0.149972477487397
"413","Tom Heinsohn*",0.149538343719529
"414","Enes Kanter",0.149081100898968
"415","Drew Gooden",0.146871231028923
"416","Stacey Augmon",0.146313672227312
"417","Geoff Petrie",0.145299236534452
"418","Campy Russell",0.14499129859862
"419","P.J. Brown",0.144769863458271
"420","Lou Williams",0.144358989872593
"421","Ken Norman",0.143796359286341
"422","Bo Outlaw",0.142256620368863
"423","Paul Silas",0.142109830559383
"424","Boris Diaw",0.141954232800097
"425","Steve Mix",0.140093396082396
"426","Kenny Sears",0.139630982931643
"427","Brent Barry",0.139520540798538
"428","Billy Owens",0.137952203250478
"429","Kenny Smith",0.137766918352347
"430","Tyrone Hill",0.13765583407158
"431","Gene Banks",0.137330882813362
"432","Vinnie Johnson",0.137323096211491
"433","Tyreke Evans",0.136014287549028
"434","Steve Johnson",0.135881474636854
"435","Jim McMillian",0.132272663977746
"436","M.L. Carr",0.131907828549226
"437","Doug Collins",0.131539408904961
"438","Pervis Ellison",0.131431658451013
"439","Andrew Wiggins",0.131225568505582
"440","Neal Walk",0.130056345139683
"441","Tayshaun Prince",0.129369122181438
"442","Larry Drew",0.128243599708698
"443","Gene Shue",0.127858276126492
"444","Eric Murdock",0.12784449064611
"445","Matt Harpring",0.127348207225285
"446","Willie Naulls",0.126841102971149
"447","Andrew Bynum",0.126143491959373
"448","Devin Harris",0.123609991013157
"449","Erick Dampier",0.123301422018349
"450","Billy Paultz",0.122788786107679
"451","Eddy Curry",0.122505522377704
"452","Jamaal Magloire",0.122351437412193
"453","Jusuf Nurkic",0.122306551717434
"454","Mike Dunleavy",0.121646268320203
"455","Larry Hughes",0.121478909217286
"456","Terry Mills",0.117017967265475
"457","Bob Kauffman",0.116250163311481
"458","Harvey Grant",0.115963770105524
"459","Sherman Douglas",0.115338628224435
"460","Reggie King",0.11502939639736
"461","Walt Hazzard",0.114193897322801
"462","Flynn Robinson",0.113917910211318
"463","Sedale Threatt",0.113909302187002
"464","Antoine Carr",0.1120163530236
"465","Scott Skiles",0.10958088780071
"466","Dick Snyder",0.107551993469306
"467","Phil Ford",0.107481151666961
"468","Mark West",0.107314188577843
"469","Alex Groza",0.104508664887941
"470","Don Kojis",0.0988008579047126
"471","Roy Tarpley",0.0978546842722876
"472","John Williams",0.0969587095934109
"473","Myles Turner",0.0966614304431659
"474","Derek Anderson",0.0964967262249511
"475","Stu Lantz",0.0964306502514854
"476","Kevin Loughery",0.0962980438734175
