"","Player","Tm","Yr","W","PTS","TRB","AST","PC1a","maxW","PC1b","PC1n"
"22","LeBron James","CLE",2015,14,30.1,11.3,8.5,222.073501448524,16,13.8795938405328,0.861209452758169
"23","Kobe Bryant","LAL",2010,16,29.2,6,5.5,221.956313874635,16,13.8722696171647,0.860754994906509
"24","Kareem Abdul-Jabbar*","MIL",1974,11,32.2,15.8,4.9,165.462167674945,12,13.7885139729121,0.855558073917255
"25","Larry Bird*","BOS",1986,15,25.9,9.3,8.2,205.487982509779,15,13.6991988339853,0.850016194032157
"26","Michael Jordan*","CHI",1996,15,30.7,4.9,4.1,204.903608426318,15,13.6602405617546,0.84759888753935
"27","Tim Duncan","SAS",2005,16,23.6,12.4,2.7,216.870304543066,16,13.5543940339416,0.841031258014923
"28","Elgin Baylor*","LAL",1962,7,38.6,17.7,3.6,108.16683603039,8,13.5208545037987,0.838950176916154
"29","LeBron James","MIA",2013,16,25.9,8.4,6.6,216.296364495456,16,13.518522780966,0.838805496764285
"30","Larry Bird*","BOS",1981,12,21.9,14,6.1,161.24144832046,12,13.4367873600383,0.833733927816602
"31","Kevin Durant","GSW",2018,16,29,7.8,4.7,212.374052297811,16,13.2733782686132,0.823594621449368
"32","Tim Duncan","SAS",1999,15,23.2,11.5,2.8,199.078388266931,15,13.2718925511288,0.823502434750214
"33","Kobe Bryant","LAL",2002,15,26.6,5.8,4.6,198.008747465058,15,13.2005831643372,0.819077786689119
"34","Tim Duncan","SAS",2007,16,22.2,11.5,3.3,210.072379443456,16,13.129523715216,0.814668646912118
"35","Stephen Curry","GSW",2015,16,28.3,5,6.4,209.098260710583,16,13.0686412944115,0.810890977557661
"36","Elvin Hayes*","WSB",1978,14,21.8,13.3,2,182.744487503731,14,13.0531776788379,0.809931481764142
"37","Dirk Nowitzki","DAL",2011,16,27.7,8.1,2.5,208.80986414959,16,13.0506165093494,0.809772564767074
"38","Hakeem Olajuwon*","HOU",1986,13,26.9,11.8,2,195.365890626967,15,13.0243927084644,0.808145414472272
"39","Stephen Curry","GSW",2017,16,28.1,6.2,6.7,208.133230920459,16,13.0083269325287,0.807148555467556
"40","Patrick Ewing*","NYK",1994,14,21.9,11.7,2.6,194.257307780754,15,12.9504871853836,0.803559679772861
"41","Kevin Durant","GSW",2017,16,28.5,7.9,4.3,206.109521854958,16,12.8818451159349,0.799300535035248
"42","Bob Pettit*","STL",1957,8,29.8,16.8,2.5,102.748551336439,8,12.8435689170548,0.796925550243193
"43","Scottie Pippen*","CHI",1991,15,21.6,8.9,5.8,192.602941016853,15,12.8401960677902,0.796716269647321
"44","Kevin McHale*","BOS",1986,15,24.9,8.6,2.7,192.232054032226,15,12.8154702688151,0.795182068283142
"45","Charles Barkley*","PHO",1993,13,26.6,13.6,4.3,191.785364399688,15,12.7856909599792,0.793334303675566
"46","Rick Barry*","GSW",1975,12,28.2,5.5,6.1,153.409790836709,12,12.7841492363924,0.793238641875826
"47","Julius Erving*","PHI",1980,12,24.4,7.6,4.4,152.377693420267,12,12.6981411183556,0.787901958027704
"48","Dave Cowens*","BOS",1976,12,21,16.4,4.6,151.600083217461,12,12.6333402681217,0.783881155588573
"49","Scottie Pippen*","CHI",1992,15,19.5,8.8,6.7,188.122261777746,15,12.5414841185164,0.778181609532471
"50","LeBron James","CLE",2017,13,32.8,9.1,7.8,200.133682871381,16,12.5083551794613,0.776126005038429
"51","Magic Johnson*","LAL",1987,15,21.8,7.7,12.2,186.651468231956,15,12.4434312154638,0.772097563561853
"52","Magic Johnson*","LAL",1980,12,18.3,10.5,9.4,148.680759610814,12,12.3900633009012,0.768786158846171
"53","Larry Bird*","BOS",1987,13,27,10,7.2,185.108234529883,15,12.3405489686589,0.765713863542431
"54","Dwyane Wade","MIA",2012,16,22.8,5.2,4.3,196.839397874355,16,12.3024623671472,0.76335064300283
"55","Jerry West*","LAL",1970,11,31.2,3.7,8.4,147.243807362181,12,12.2703172801817,0.761356085159679
"56","Kobe Bryant","LAL",2008,14,30.1,5.7,5.6,195.924315333106,16,12.2452697083191,0.759801918236312
"57","Karl Malone*","UTA",1997,13,26,11.4,2.9,183.152576059588,15,12.2101717373059,0.757624138053656
"58","Kevin Garnett","BOS",2008,16,20.4,10.5,3.3,195.354894349206,16,12.2096808968254,0.757593682085961
"59","Hal Greer*","PHI",1967,11,27.7,5.9,5.3,134.132955091785,11,12.1939050083441,0.756614810193753
"60","Dirk Nowitzki","DAL",2006,14,27,11.7,2.9,194.689506873397,16,12.1680941795873,0.755013284243914
"61","Scottie Pippen*","CHI",1993,15,20.1,6.9,5.6,182.015651060402,15,12.1343767373601,0.752921163948284
"62","Wilt Chamberlain*","PHI",1967,11,21.7,29.1,9,133.296590422383,11,12.1178718565803,0.751897059100006
"63","John Havlicek*","BOS",1968,12,25.9,8.6,7.5,145.39304422115,12,12.1160870184292,0.751786312380393
"64","Magic Johnson*","LAL",1988,15,19.9,5.4,12.6,181.482821988832,15,12.0988547992555,0.75071707719852
"65","Allen Iverson*","PHI",2001,12,32.9,4.7,6.1,180.780732537019,15,12.0520488358012,0.747812832403221
"66","Kareem Abdul-Jabbar*","LAL",1985,15,21.9,8.1,4,180.544896226024,15,12.0363264150683,0.746837278110276
"67","Pau Gasol","LAL",2010,16,19.6,11.1,3.5,192.426608096168,16,12.0266630060105,0.746237677046869
