"","PER","pred.PER"
"541",7.6,7.77924320289339
"542",23.4,23.5920533638101
"543",0.6,-5.16684637430835
"544",12,11.9152208177135
"545",17.1,18.7656432077343
"546",8,7.91887623733836
"547",16,16.395641705112
"548",14.9,14.9394125004488
"549",13.1,12.9086260940299
"550",8.2,7.01202771368542
"551",28.7,26.6552823732556
"552",16.5,16.1044252212548
"553",21.3,19.0779277681774
"554",19.2,18.3861145196435
"555",7.9,7.69556332331977
"556",9.9,9.12225292904201
"557",0,0.403279668514713
"558",-20.3,-18.3141646854456
"559",-14.6,-11.7294877938967
"560",12.6,13.7591346876784
"561",10.8,14.5811011676012
"562",-4.8,-3.49910171339462
"563",16,16.3591529062081
"564",15.9,14.658396742358
"565",15.3,14.6765924129584
"566",4.4,1.31565596523382
"567",42.5,41.4596154268961
"568",18.2,18.6511434914547
"569",10.6,9.42681514024081
"570",9.7,9.83331805064847
"571",14.3,14.245386282946
"572",24.3,25.7088770381469
"573",11.9,12.759727250823
"574",9.8,9.10681050680645
"575",7.3,7.7796857793917
"576",16.2,16.7834412505971
"577",20.1,18.2590430103047
"578",18.6,18.9857674940319
"579",14.8,14.0859155707261
"580",-1.7,-1.67910147684972
"581",11.3,11.5147372174016
"582",8.5,4.99759411341093
"583",11.9,9.6497770948149
"584",14.2,13.5427254093158
"585",12.4,11.7914598042197
"586",14.4,11.3624620750928
"587",4,6.05957307706412
"588",9.1,7.50905902301301
"589",10.7,9.47836587853469
"590",11.7,10.3065176907695
"591",10.8,10.788569472735
"592",-5.4,-8.25831539703432
"593",17.8,18.4766758244945
"594",12.8,10.3319642655307
"595",19.5,18.8745962437653
"596",15.3,15.1899502543393
"597",13.7,14.1053919230217
"598",12.9,12.1446876615134
"599",16.7,15.8267726386804
"600",16,13.6584119926146
"601",13.5,11.6889294081117
"602",11.2,10.8573851805946
"603",11.3,10.8297086017775
"604",11.7,10.7545478058289
"605",7.6,7.50252195133253
"606",17.5,17.0830537229939
"607",12.2,11.5878070026646
"608",6.6,6.94692970121006
"609",12.4,11.1923527479716
"610",18.3,19.4238408266352
"611",9.8,9.38550504180687
"612",15.4,13.7484433195053
"613",17.2,16.2590554445028
"614",10.4,8.38304063274307
"615",10.1,9.81629781070938
"616",-6.9,-5.01049893367193
"617",21.7,22.4606435893327
"618",13.2,12.0756582969917
"619",-5.7,-1.55107389195314
"620",18.1,19.6023767092258
"621",18.9,14.7128312727963
"622",14.4,12.8988856340848
"623",10.8,8.61365857846616
"624",2.2,2.43272425818297
"625",10.9,12.1695292362794
"626",13.7,12.1289049321245
"627",13.7,11.1901861886231
"628",20.5,19.2151018735978
"629",11.6,9.32015653180036
"630",13.8,13.2311311675831
"631",23.3,22.9859490976636
"632",16.2,16.3329449302337
"633",18.2,15.8541085539068
"634",9.6,9.65991583260124
"635",14.1,13.3120457627931
"636",12.6,12.0514529589664
"637",10.5,10.4687150492105
"638",12.9,14.5182794310671
"639",-6.2,-11.076203842312
"640",13.5,12.7430866247957
"641",14.5,13.5837472436502
"642",11.6,11.4701611645202
"643",4.1,2.86493283068529
"644",17.3,16.875204809699
"645",15.6,14.0066730407935
"646",8.4,9.5076450871894
"647",25.9,25.9149614537148
"648",10,9.5221041290088
"649",11.3,8.54723381640927
"650",12.4,11.4675562015693
