"","MP","pred.MP"
"291",2724,2700.97000991668
"292",409,467.299408898407
"293",288,276.756553876718
"294",1738,1728.50077660936
"295",1451,1607.14931598396
"296",1007,950.887811684277
"297",38,64.0017572628158
"298",2316,2551.85704616455
"299",680,649.598199368507
"300",1537,1651.90108880616
"301",2738,2808.84302634672
"302",1423,1597.0018597215
"303",1144,1085.90345463596
"304",2767,2661.05678232161
"305",16,25.5922862074945
"306",1097,1067.4058893477
"307",1444,1285.11619821939
"308",1535,1377.90299193473
"309",1290,1159.82798646935
"310",1429,1411.11838930226
"311",59,100.796229106002
"312",1702,1817.38148176289
"313",1611,1599.73904444991
"314",2028,2344.29239496516
"315",2024,2233.19985832789
"316",2378,2271.48842695132
"317",870,1066.37656452499
"318",2840,2723.18477841047
"319",2346,2630.04447239869
"320",2375,2452.74746281859
"321",1480,1700.00836107038
"322",420,415.634880004876
"323",2219,2174.2650239752
"324",1329,1219.66831946216
"325",444,506.696833535149
"326",1129,948.5169993053
"327",352,388.193742508168
"328",93,127.061081474443
"329",1535,1865.7671652904
"330",2240,2057.25453387802
"331",2594,2538.68777407445
"332",1639,1764.71260287547
"333",1278,1503.11299175944
"334",2114,2038.00020821565
"335",2343,2415.52942114875
"336",1837,1883.60511111977
"337",1582,1638.18544979773
"338",2518,2556.26144279988
"339",2354,2360.8621698188
"340",2838,2690.10976169734
"341",1685,1864.34524046328
"342",1713,1803.82717556205
"343",1248,1437.08534426079
"344",973,1067.93089883647
"345",765,935.055283387521
"346",2100,2191.50667852883
"347",402,468.674787517988
"348",910,966.115823081565
"349",1964,2031.14326852542
"350",2013,2316.25734910196
"351",703,822.178741590057
"352",424,476.534236097331
"353",779,824.888817550012
"354",2794,2926.47911583284
"355",2078,2010.68993774143
"356",1746,1851.44165525711
"357",1943,2264.56942417103
"358",1597,1553.50607893135
"359",1883,1921.40649504954
"360",23,47.9172860110549
"361",578,652.432959656094
"362",2517,2599.34890382069
"363",1930,1842.99622518911
"364",2069,2014.41236409195
"365",444,365.143061257137
"366",1826,1856.90432142564
"367",1975,2118.18060294458
"368",2698,2544.47120086933
"369",1750,1640.34635221051
"370",903,1107.69811171974
"371",2311,2237.67025151977
"372",1378,1422.05221227059
"373",1640,1699.54584353411
"374",2219,2055.79091381585
"375",2323,2477.23072737633
"376",895,917.375059895848
"377",2186,2349.4887470716
"378",77,98.3729002948772
"379",1980,2050.19386753414
"380",173,203.212892427516
"381",2353,2394.72221166699
"382",182,137.840441649983
"383",10,1.27740609696929
"384",2953,2719.97446935423
"385",2536,2300.81824560137
"386",1790,1870.35263051057
"387",1623,1706.52361372371
"388",2479,2497.73047186981
"389",52,49.0247269113221
"390",1381,1531.94666001438
"391",2109,1938.44841511644
"392",244,218.25606573732
"393",48,77.3781637248009
"394",1204,1318.68261116808
"395",2390,2386.50435481989
"396",2482,2545.62485208736
"397",424,378.232578369742
"398",1749,1834.99951549921
"399",463,437.004258344612
"400",2747,2761.89671454291
"401",1870,2340.79319888674
"402",766,675.09920000974
"403",1387,1331.70927373375
"404",72,45.084837154055
"405",1113,1171.40900777969
"406",2024,2206.43421016909
"407",820,1053.31824109665
"408",2264,2238.77826116995
"409",151,150.806567960056
"410",47,49.1049531135229
"411",2548,2463.70315158553
"412",2480,2386.98080777488
"413",2515,2411.21507795922
"414",45,82.7191533793644
"415",1088,1145.80228076498
"416",178,167.362348908239
"417",2300,2301.84785043827
"418",23,46.7696045422215
"419",1664,1553.76094531562
"420",1774,1538.31823230041
"421",670,785.186355851152
"422",980,905.395935311632
"423",1326,1209.12925823709
"424",2860,2639.52280827579
"425",2917,2890.00881836181
"426",1102,1244.36752914056
"427",25,62.5634403064897
"428",1380,1548.99951055674
"429",1529,1761.92222803409
"430",103,97.0457671599529
"431",2015,2087.50796611347
"432",29,36.3097577579152
"433",2212,2247.02549671357
"434",2361,2385.4293968227
"435",2706,2638.86572010552
"436",57,80.9959653653737
"437",1337,1273.27802218785
"438",47,70.735333105151
"439",2784,2670.93195894785
"440",249,223.629022379795
"441",98,104.933334957419
"442",2310,2349.7844916365
"443",1807,2026.09480782891
"444",14,4.70105949477345
"445",1026,1062.02917950734
"446",2559,2422.23195477033
"447",376,354.136657215782
"448",1227,1349.4372722041
"449",1590,1679.76713351578
"450",59,88.8802877626376
"451",194,202.638128158629
"452",1910,1940.37807263039
"453",286,219.188894406422
"454",504,610.391432804049
"455",503,517.976015295523
"456",2659,2758.46708944443
"457",2332,2291.05696841204
"458",1960,1967.53592602008
"459",1754,1939.36816797573
"460",102,77.2192070395282
"461",1970,1919.82647561278
"462",2473,2297.38399797703
"463",201,179.379861426496
"464",1406,1629.19818385355
"465",1139,1012.53936853278
"466",2526,2525.60203609069
"467",1798,1825.23662287914
"468",619,740.130684140609
"469",2668,2642.81793609115
"470",2950,2803.06316354676
"471",1685,1876.88546686445
"472",2453,2421.33631687403
"473",947,849.033310476976
"474",862,922.600006254892
"475",2365,2315.09282626132
"476",1888,1778.5173698772
"477",1127,1125.23553990764
"478",404,415.371137196512
"479",287,307.249706872163
"480",922,856.729072533559
"481",820,942.486165074852
"482",2376,2330.28915415756
"483",702,740.122913815175
"484",15,17.4511094644629
"485",2150,1961.95677608103
"486",1862,1945.00868019257
"487",1117,1205.19166288762
"488",220,222.269415586299
"489",46,65.1615957954954
"490",1627,1395.46435712134
"491",1358,1446.59281789818
"492",2064,2070.67305258024
"493",641,624.612354942946
"494",422,337.820957655102
"495",1496,1259.74510495328
"496",202,184.515095230295
"497",1522,1087.23999927523
"498",1729,1779.64659345627
"499",2373,2507.5516896417
"500",973,983.298070816096
"501",2370,1923.84598125229
"502",1654,1555.17545004102
"503",2179,2144.33148395083
"504",2377,2360.28498400805
"505",1101,1053.04852908742
"506",2857,2930.64774991536
"507",2137,2572.39736644135
"508",1568,1349.548401674
"509",1451,1545.58081092354
"510",91,93.6117941675675
"511",12,12.0256016536069
"512",2672,2714.53013891658
"513",1562,1947.81543630192
"514",2693,2682.72192422794
"515",1221,1052.16277739792
"516",501,460.703934409231
"517",1211,1553.87432675239
"518",2690,2617.45152188364
"519",2648,2514.68921061035
"520",258,240.131723283077
"521",2759,2451.71912399048
"522",1,5.56491380824498
"523",1707,1678.99580237519
"524",1556,1541.05005725637
"525",1898,1560.94807970221
"526",1443,1357.73680527416
"527",2452,2131.36862879599
"528",2505,2567.64006246561
"529",1155,1031.27634443726
"530",649,609.845109373395
"531",1970,1752.98052254233
"532",2934,2619.39616939705
"533",3296,3332.00851491038
"534",1405,1462.9698927659
"535",2370,2465.57764288251
"536",47,88.2268416660751
"537",1277,1377.11634462111
"538",2206,2181.17239728888
"539",380,297.822032263467
"540",1255,1604.98206153621
"541",367,307.221165571837
"542",2792,2838.41660864593
"543",11,5.96914661641001
"544",2472,2220.1070990034
"545",181,235.086966434
