"","AST.","predAST."
"453",11.6,11.8999182843167
"454",10.3,10.9679621950288
"455",10.5,10.8588422907749
"456",7.9,7.73727935471117
"457",7.1,9.55990026115802
"458",15.5,14.5465494653992
"459",33.2,34.1269175049553
"460",16.1,16.282426929563
"461",29.6,32.3169338442785
"462",5.7,5.71094111888433
"463",14.9,15.1739665046524
"464",12.4,12.7964775708915
"465",6.4,6.48843273418855
"466",17,14.9524521142393
"467",7.5,8.51654584007441
"468",18.6,20.3721762990498
"469",8.4,8.75246326957647
"470",12.8,12.6785014212094
"471",12.9,12.6014130289408
"472",14,13.5365983221821
"473",0,2.94552418670263
"474",4.9,4.03062121434434
"475",11.2,10.9461046365262
"476",18.9,20.743214972425
"477",13,13.6051410404687
"478",12.8,12.4199701740693
"479",8.3,9.12633240022449
"480",6.1,6.28113449765883
"481",4.3,4.98012398226348
"482",12.4,12.6963828458632
"483",12.8,13.4706818046956
"484",7.5,9.05494356506932
"485",18.6,18.7777072993793
"486",3.9,3.48529954371743
"487",16.7,17.0515930920606
"488",6.3,6.16835363524665
"489",27.5,27.9403705261799
"490",13.8,12.3681922791486
"491",5.1,5.9420088569858
"492",22.6,26.3841565082612
"493",0,3.10763447403434
"494",13.9,13.5305486512592
"495",11.2,16.3337556436099
"496",30.2,29.5509358078307
"497",30,28.7663986380744
"498",5.6,5.41866718031587
"499",4.8,3.4957299260826
"500",5.2,6.06645577043903
"501",20.3,21.014734445069
"502",5.4,4.15450628588896
"503",14.4,13.8458780147337
"504",26.9,25.2455003801349
"505",5,5.0776574958093
"506",5.3,5.05026728655136
"507",13.7,13.4700997078098
"508",19.7,20.1715703489079
"509",17.5,17.1992831271672
"510",20.2,19.6090433604788
"511",7.4,6.87187235497672
"512",7.6,9.28334559359217
"513",18.6,16.7001906465049
"514",26,26.9653117491039
"515",7.5,8.01723761250927
"516",10.5,10.3282928631936
"517",8.8,8.41517804086988
"518",11.3,11.4381711573914
"519",16.9,16.7309168860182
"520",12.8,12.7862859090701
"521",16.7,16.3596912780541
"522",16.6,17.5448981991565
"523",7.9,8.80099220414273
"524",13.8,13.6409259957295
"525",12.4,11.3267605798882
"526",6.2,5.75736616536152
"527",18.6,19.8288230347522
"528",12.6,12.3351159464018
"529",8.5,7.97414813415414
"530",11.8,11.8542268993196
"531",11.8,13.0270342506076
"532",6,5.92188498246424
"533",9.9,10.1391915223597
"534",8.8,9.17025776114296
"535",12.8,12.7854921213767
"536",6.9,7.26334653806592
"537",8.7,9.031716662914
"538",7.1,6.71565894021955
"539",15.6,15.6314585130874
"540",11.7,10.606192436315
"541",5.6,5.67275739910711
"542",8.6,8.80432867193142
"543",12.9,13.2190917637882
"544",13.6,13.6302687160856
"545",8.1,7.91725911076405
"546",9.6,9.7462880380671
"547",9.3,9.12324906894948
"548",29.5,29.8627475674127
"549",19.9,17.9592555833291
"550",7.5,7.92313160707891
"551",23.8,22.3104988573146
"552",17.5,17.3129094693972
"553",7.7,7.38080573260621
"554",17.2,16.4729886559113
"555",6.2,5.20523526336934
"556",25.8,26.3148634286832
"557",14.8,13.9923355064424
"558",18.4,17.2928317041788
"559",5.2,5.73946603495186
"560",7.4,8.24215536878841
"561",8.7,5.70898461934321
"562",23.4,25.1642543389579
"563",13.8,13.5958987062488
"564",16.1,14.8584029530006
"565",20.3,18.3486017987515
"566",7.2,7.49165281752604
"567",4.5,3.39284750705913
"568",25.4,26.590968034182
"569",7,7.20337180865066
"570",7.1,7.07263702650265
"571",7.1,7.15803906114369
"572",8.2,7.84921848238097
"573",11.3,11.51456035786
"574",11.1,11.5793395614172
"575",8.3,9.08949397390966
"576",6,6.1033590425771
"577",7.9,7.80053669313057
"578",13.4,12.7858168054418
"579",5.9,5.37569763078955
"580",15.9,15.8519458359937
"581",16.4,16.7103046060099
"582",6.6,6.54979796570786
"583",6.4,6.08105221482938
"584",6.8,6.91079902029476
"585",16.9,15.8334093553364
"586",0,0.337282008341853
"587",9.6,10.7014728470161
"588",20.6,20.5322850492425
"589",22.3,21.1078492196863
"590",9.3,9.63984779037637
"591",8.7,8.80446513875047
"592",6.6,6.90730004755552
"593",5,2.60936687632532
"594",27,32.2261484345271
"595",14.2,13.0654627540448
"596",5.6,5.53465852874698
"597",16.9,16.6176590106689
"598",4.9,6.45908560676045
"599",13.8,13.2885598329721
"600",3.7,4.09473412415804
"601",11.1,11.9102072877652
"602",8.2,8.80946564772662
"603",16.1,15.6605326191318
"604",10.8,10.9301824576815
"605",8,7.77177237852746
"606",10.1,10.2555703881179
"607",11.1,11.8234317272255
"608",0,3.13349018421544
"609",18.4,18.5179518163022
"610",5.6,5.18338580487391
"611",18.1,18.1148138765809
"612",18.8,16.7374352178732
"613",6.2,6.80110680585781
"614",7.5,7.30906115896785
"615",7.3,7.13536326038004
"616",7.9,9.00576062410518
"617",15.4,15.8055070180408
"618",12.5,12.0422727966033
"619",6.1,6.81237950644732
"620",1.7,1.26531227283148
"621",11.9,11.5190358385318
"622",10.3,10.3148623287198
"623",5.5,5.58049436229874
"624",9,8.27914431194691
"625",18,18.0296029669822
"626",14.7,14.345769602933
"627",31.4,31.5305323289256
"628",22.1,20.8623393328921
"629",34.8,35.9937819671936
"630",7.1,6.88593739220199
"631",13.9,12.3580577710374
"632",10.1,10.7723295572068
"633",6.8,7.02798729425264
"634",7.3,7.56649357066353
"635",7.9,8.54088834173795
"636",19.3,18.9354109717659
"637",9.6,10.3471913377442
"638",0,2.32657832822023
"639",13.7,12.8073858869507
"640",13.2,13.514667653646
"641",8,8.19687752315236
"642",14.2,14.3366277612286
"643",21.3,20.2542461253868
"644",11.6,11.7395872487612
"645",4.8,3.49885991487863
"646",9,9.11670085256741
"647",5.6,5.33067000070318
"648",6.4,5.82043546527103
"649",8.8,10.056006806726
"650",15.9,15.2869340941726
"651",9.4,10.0079717603207
"652",7,7.87703122513262
"653",18.6,19.3928029364471
"654",4.1,4.69180349004083
"655",19.5,18.2626766731958
"656",5.6,5.482780053233
"657",18.5,17.947799966474
"658",4.9,4.95921189607297
"659",26.4,28.1130140738783
"660",11.3,7.23618753525682
"661",27.5,27.4112072679384
"662",32.2,32.8497826156364
"663",13.8,9.33755559205857
"664",24.1,22.3563352560776
"665",12.5,11.4701506992001
"666",7.7,7.54940222936051
"667",3.3,3.02074132835911
"668",4.5,4.07872096466636
"669",13.1,13.3455444850213
"670",18.7,18.2865656517094
"671",24.5,24.5107908736864
