"","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Yr"
"90","Kenny Sears","SF","30","SFW","51","519","12.1","0.549","0","0.658","0","0","0","0","0","0","0","0","1","0.8","1.8","0.165","0","0","0","0",1964
"91","Frank Selvy","SG","31","LAL","73","1286","9","0.417","0","0.288","0","0","0","0","0","0","0","0","-0.7","0.7","0","0","0","0","0","0",1964
"92","Lee Shaffer","SF","24","PHI","41","1013","11.1","0.415","0","0.227","0","0","0","0","0","0","0","0","-1.2","0.6","-0.6","-0.03","0","0","0","0",1964
"93","Gene Shue","PG","32","BAL","47","963","6","0.327","0","0.221","0","0","0","0","0","0","0","0","-1.8","0.7","-1.1","-0.057","0","0","0","0",1964
"94","Larry Siegfried","SG","24","BOS","31","261","11.8","0.397","0","0.355","0","0","0","0","0","0","0","0","-0.3","0.8","0.5","0.084","0","0","0","0",1964
"95","Adrian Smith","SG","27","CIN","66","1524","10.7","0.469","0","0.342","0","0","0","0","0","0","0","0","0.9","1","1.9","0.059","0","0","0","0",1964
"96","Larry Staverman","PF","27","TOT","60","674","12.5","0.527","0","0.425","0","0","0","0","0","0","0","0","1.1","0.5","1.6","0.111","0","0","0","0",1964
"97","Roger Strickland","F","23","BAL","1","4","-0.1","0.333","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.224","0","0","0","0",1964
"98","Tom Thacker","PG","24","CIN","48","457","7.3","0.323","0","0.293","0","0","0","0","0","0","0","0","-1.4","0.5","-0.9","-0.096","0","0","0","0",1964
"99","Rod Thorn*","SG","22","BAL","75","2594","12.9","0.461","0","0.348","0","0","0","0","0","0","0","0","1.2","1.7","2.9","0.053","0","0","0","0",1964
"100","Nate Thurmond*","PF","22","SFW","76","1966","12.1","0.423","0","0.312","0","0","0","0","0","0","0","0","-0.9","4.4","3.5","0.085","0","0","0","0",1964
"101","Gene Tormohlen","C","26","STL","51","640","9.4","0.389","0","0.184","0","0","0","0","0","0","0","0","-0.9","0.9","0","-0.002","0","0","0","0",1964
"102","Jack Twyman*","SF","29","CIN","68","1996","14.6","0.495","0","0.23","0","0","0","0","0","0","0","0","2.8","1.5","4.3","0.105","0","0","0","0",1964
"103","Chico Vaughn","SG","23","STL","68","1340","11.5","0.483","0","0.275","0","0","0","0","0","0","0","0","1.3","1.1","2.3","0.084","0","0","0","0",1964
"104","Chet Walker*","SF","23","PHI","76","2775","15.2","0.497","0","0.415","0","0","0","0","0","0","0","0","3.5","1.9","5.4","0.094","0","0","0","0",1964
"105","Gerry Ward","SG","22","STL","24","139","7","0.355","0","0.321","0","0","0","0","0","0","0","0","-0.3","0.2","-0.1","-0.049","0","0","0","0",1964
"106","Ben Warley","PF","27","PHI","79","1740","13.5","0.517","0","0.617","0","0","0","0","0","0","0","0","2.4","1.4","3.8","0.104","0","0","0","0",1964
"107","Jerry West*","PG","25","LAL","72","2906","24.2","0.562","0","0.459","0","0","0","0","0","0","0","0","12.2","1.8","14","0.232","0","0","0","0",1964
"108","Hubie White","SG","24","PHI","23","196","6.1","0.337","0","0.267","0","0","0","0","0","0","0","0","-0.7","0.1","-0.6","-0.143","0","0","0","0",1964
"109","Gene Wiley","C","26","LAL","78","1510","10.4","0.551","0","0.275","0","0","0","0","0","0","0","0","1.8","1.1","2.8","0.09","0","0","0","0",1964
"110","Lenny Wilkens*","PG","26","STL","78","2526","12.5","0.484","0","0.452","0","0","0","0","0","0","0","0","2.4","2.6","5","0.094","0","0","0","0",1964
"111","John Windsor","PF","23","SFW","11","68","12.5","0.442","0","0.296","0","0","0","0","0","0","0","0","0","0.1","0.1","0.091","0","0","0","0",1964
