"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"85","Paul Hoffman","G-F",24,"BLB",60,0,2122,312,914,0.341,0,0,0,312,914,0.341,0.341,242,364,0.665,0,0,0,161,0,0,0,234,866,1950,15.4342564508982,0.403,0,0.398,0,0,5.74654336996017,12.2741816421124,0,0,0,0,2,2.1,4.1,0.0927426955702168,0,0,0,0
"86","Joe Holland","SF",24,"INO",64,0,1371,145,453,0.32,0,0,0,145,453,0.32,0.32,98,142,0.69,0,0,0,130,0,0,0,220,388,1950,9.33560419294189,0.376,0,0.313,0,0,0.928558072184015,13.452221440752,0,0,0,0,0.1,1.1,1.2,0.0420131291028446,0,0,0,0
"87","Red Holzman*","PG",29,"ROC",68,0,1562,206,625,0.33,0,0,0,206,625,0.33,0.33,144,210,0.686,0,0,0,200,0,0,0,67,556,1950,12.6024991880398,0.388,0,0.336,0,0,3.87813141838932,19.8892680199242,0,0,0,0,0.9,1.7,2.5,0.0768245838668374,0,0,0,0
"88","Gene James","F",24,"NYK",29,0,251,19,64,0.297,0,0,0,19,64,0.297,0.297,14,31,0.452,0,0,0,20,0,0,0,53,52,1950,7.03398220914195,0.335,0,0.484,0,0,4.38181963777198,13.7037667617973,0,0,0,0,-0.2,0.3,0.1,0.0191235059760956,0,0,0,0
"89","Howie Janotta","F",25,"BLB",9,0,78,9,30,0.3,0,0,0,9,30,0.3,0.3,13,16,0.813,0,0,0,4,0,0,0,10,31,1950,11.5526784855523,0.418,0,0.533,0,0,8.94704586497354,7.73776271633946,0,0,0,0,0.1,0.1,0.2,0.123076923076923,0,0,0,0
"90","Tony Jaros","F-G",29,"MNL",61,0,877,84,289,0.291,0,0,0,84,289,0.291,0.291,72,96,0.75,0,0,0,60,0,0,0,106,240,1950,7.12281538591864,0.362,0,0.332,0,0,0,9.18004459404942,0,0,0,0,-0.4,1.7,1.3,0.07115165336374,0,0,0,0
"91","Buddy Jeannette*","G",32,"BLB",37,0,693,42,148,0.284,0,0,0,42,148,0.284,0.284,109,133,0.82,0,0,0,93,0,0,0,82,193,1950,15.8042413003345,0.467,0,0.899,0,0,0,25.5477856418098,0,0,0,0,1.9,0.7,2.6,0.18008658008658,0,0,0,0
"92","Arnie Johnson","SF",29,"ROC",68,0,1698,149,376,0.396,0,0,0,149,376,0.396,0.396,200,294,0.68,0,0,0,141,0,0,0,260,498,1950,14.7968326231204,0.493,0,0.782,0,0,5.4925072180326,12.0609124687271,0,0,0,0,4.8,2.4,7.2,0.203533568904594,0,0,0,0
"93","Ralph Johnson","PG",28,"TOT",67,0,2204,243,779,0.312,0,0,0,243,779,0.312,0.312,104,129,0.806,0,0,0,171,0,0,0,207,590,1950,10.5988737905377,0.353,0,0.166,0,0,4.70749185592293,11.9315339229356,0,0,0,0,-1.5,4.5,2.9,0.0631578947368421,0,0,0,0
"94","Wah Wah Jones","PF",23,"INO",60,0,1995,264,706,0.374,0,0,0,264,706,0.374,0.374,223,297,0.751,0,0,0,194,0,0,0,241,751,1950,16.5157600056668,0.449,0,0.421,0,0,5.77468253075795,15.501176796471,0,0,0,0,4.5,1.4,5.9,0.141954887218045,0,0,0,0
"95","Noble Jorgensen","C",24,"SHE",54,0,1433,218,618,0.353,0,0,0,218,618,0.353,0.353,268,350,0.766,0,0,0,90,0,0,0,201,704,1950,-1.04692810830949,0.456,0,0.566,0,0,5.3577993334584,7.95529309516474,0,0,0,0,4.1,-0.3,3.8,0.12728541521284,0,0,0,0
"96","George Kaftan","SF",21,"BOS",55,0,1246,199,535,0.372,0,0,0,199,535,0.372,0.372,136,208,0.654,0,0,0,145,0,0,0,92,534,1950,17.1178974443256,0.426,0,0.389,0,0,4.3447021609806,19.5440256481569,0,0,0,0,2.3,1,3.4,0.130979133226324,0,0,0,0
"97","Leo Katkaveck","G",26,"WSC",54,0,775,101,330,0.306,0,0,0,101,330,0.306,0.306,34,56,0.607,0,0,0,68,0,0,0,102,236,1950,6.94146614378118,0.333,0,0.17,0,0,0,12.2008076595933,0,0,0,0,-1.2,1,-0.2,-0.0123870967741935,0,0,0,0
"98","Jack Kerris","PF",25,"TOT",68,0,1595,157,481,0.326,0,0,0,157,481,0.326,0.326,169,260,0.65,0,0,0,118,0,0,0,175,483,1950,12.6182882863734,0.406,0,0.541,0,0,4.47549237293976,9.96364250726374,0,0,0,0,1.4,2.7,4.1,0.123385579937304,0,0,0,0
"99","Bob Kinney","C-F",29,"BOS",60,0,1574,233,621,0.375,0,0,0,233,621,0.375,0.375,201,320,0.628,0,0,0,100,0,0,0,251,667,1950,14.9991249819409,0.438,0,0.515,0,0,5.85636599743995,9.41282281355177,0,0,0,0,3.2,1.6,4.8,0.146378653113088,0,0,0,0
"100","Walt Kirk","PG",25,"TOT",58,0,1237,97,361,0.269,0,0,0,97,361,0.269,0.269,155,216,0.718,0,0,0,103,0,0,0,155,349,1950,9.78873134935429,0.383,0,0.598,0,0,0.921393216261344,10.6855414072598,0,0,0,0,0.3,2,2.3,0.089248181083266,0,0,0,0
"101","Leo Klier","F-G",26,"FTW",66,0,1632,157,516,0.304,0,0,0,157,516,0.304,0.304,141,190,0.742,0,0,0,121,0,0,0,177,455,1950,10.391678605661,0.379,0,0.368,0,0,3.43335068227597,9.97003232196416,0,0,0,0,0.1,2.9,3,0.0882352941176471,0,0,0,0
"102","Duane Klueh","G",24,"TOT",52,0,1036,159,414,0.384,0,0,0,159,414,0.384,0.384,157,222,0.707,0,0,0,91,0,0,0,111,475,1950,16.8221245602628,0.464,0,0.536,0,0,3.99228384277408,14.1055748641059,0,0,0,0,3.4,0.3,3.7,0.171428571428571,0,0,0,0
"103","Lee Knorek","C",28,"BLB",1,0,38,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1950,-10.4768461048784,0,0,0,0,0,22.7454440246601,0,0,0,0,0,-0.1,0,0,0,0,0,0,0
"104","Milo Komenich","F-C",29,"AND",64,0,1881,244,861,0.283,0,0,0,244,861,0.283,0.283,146,250,0.584,0,0,0,124,0,0,0,246,634,1950,10.999905441786,0.326,0,0.29,0,0,5.69723306791954,10.5883143085826,0,0,0,0,-3.7,5.2,1.4,0.035725677830941,0,0,0,0
"105","Leo Kubiak","G",22,"WAT",62,0,2086,259,794,0.326,0,0,0,259,794,0.326,0.326,192,236,0.814,0,0,0,201,0,0,0,250,710,1950,-38.8530723467269,0.395,0,0.297,0,0,4.97285420739019,10.8477320034722,0,0,0,0,1.3,-0.8,0.5,0.0115052732502397,0,0,0,0
"106","Frank Kudelka","G-F",24,"CHS",65,0,1633,172,528,0.326,0,0,0,172,528,0.326,0.326,89,140,0.636,0,0,0,132,0,0,0,198,433,1950,10.6550811446756,0.367,0,0.265,0,0,3.10986559359202,11.531177697238,0,0,0,0,-0.4,2.8,2.4,0.0705450091855481,0,0,0,0
"107","Walt Lautenbach","G-F",27,"SHE",55,0,763,100,332,0.301,0,0,0,100,332,0.301,0.301,38,55,0.691,0,0,0,73,0,0,0,122,238,1950,-9.66657851009287,0.334,0,0.166,0,0,16.0246812813326,10.2372082189452,0,0,0,0,-1.1,-0.2,-1.3,-0.0817824377457405,0,0,0,0
"108","Tony Lavelli","F",23,"BOS",56,0,969,162,436,0.372,0,0,0,162,436,0.372,0.372,168,197,0.853,0,0,0,40,0,0,0,107,492,1950,18.3679987671678,0.471,0,0.452,0,0,6.22492985702845,3.65521473873567,0,0,0,0,3.4,0.8,4.2,0.208049535603715,0,0,0,0
"109","Ed Leede","F-G",22,"BOS",64,0,1524,174,507,0.343,0,0,0,174,507,0.343,0.343,223,316,0.706,0,0,0,130,0,0,0,167,571,1950,15.7737013533636,0.442,0,0.623,0,0,5.35217801685257,12.7686432050447,0,0,0,0,3.2,1.3,4.5,0.141732283464567,0,0,0,0
"110","Andrew Levane","F-G",29,"SYR",60,0,1227,139,418,0.333,0,0,0,139,418,0.333,0.333,54,85,0.635,0,0,0,156,0,0,0,106,332,1950,8.29749463844064,0.365,0,0.203,0,0,1.27137070846203,17.1447677673768,0,0,0,0,-0.2,2,1.8,0.0704156479217604,0,0,0,0
"111","Freddie Lewis","F-G",29,"TOT",34,0,347,46,184,0.25,0,0,0,46,184,0.25,0.25,25,32,0.781,0,0,0,25,0,0,0,40,117,1950,5.91109565659377,0.295,0,0.174,0,0,0,11.2701238639987,0,0,0,0,-1.4,0.5,-0.9,-0.124495677233429,0,0,0,0
"112","Ron Livingstone","C",24,"TOT",54,0,1674,163,579,0.282,0,0,0,163,579,0.282,0.282,122,177,0.689,0,0,0,141,0,0,0,260,448,1950,8.73634301878433,0.341,0,0.306,0,0,2.8710749359549,11.6584801418883,0,0,0,0,-1.8,3.2,1.4,0.0401433691756272,0,0,0,0
"113","John Logan","G",29,"STB",62,0,2172,251,759,0.331,0,0,0,251,759,0.331,0.331,253,323,0.783,0,0,0,240,0,0,0,206,755,1950,14.6891447414248,0.419,0,0.426,0,0,4.94663272628417,17.6756839178342,0,0,0,0,3.4,0.9,4.3,0.0950276243093923,0,0,0,0
"114","Ray Lumpp","G",26,"NYK",58,0,887,91,283,0.322,0,0,0,91,283,0.322,0.322,86,108,0.796,0,0,0,90,0,0,0,117,268,1950,11.3686625430577,0.405,0,0.382,0,0,0,14.2258290744579,0,0,0,0,0.9,0.8,1.7,0.0919954904171364,0,0,0,0
